LocationID,StartLat,StartLon,LatLong,day_length_winter_solstice,day_length_spring_equinox,day_length_summer_solstice
AC01,37.929865,-122.682332,"37.929865,-122.682332",7:02:00,10:24:00,12:44
DC01,37.519956,-122.48896,"37.519956,-122.48896",9:07:00,11:24:00,13:22
EC01,37.895544,-122.638747,"37.895544,-122.638747",8:34:00,10:51:00,12:59
EC02,37.898906,-122.641813,"37.898906,-122.641813",8:39:00,11:07:00,13:06
EC03,37.895719,-122.642286,"37.895719,-122.642286",8:50:00,11:13:00,13:17
AC02,37.930834,-122.683909,"37.930834,-122.683909",8:31:00,10:44:00,12:58
KC01,37.546853,-122.512481,"37.546853,-122.512481",8:16:00,10:58:00,13:45
KC02,37.547416,-122.511312,"37.547416,-122.511312",8:41:00,11:36:00,13:41
KC03,37.547952,-122.51021,"37.547952,-122.51021",8:55:00,11:36:00,13:41
KC04,37.547948,-122.50704,"37.547948,-122.50704",8:55:00,11:12:00,13:34
LS07,37.619893,-122.492039,"37.619893,-122.492039",4:39:00,11:01:00,13:55
LS06,37.620246,-122.49241,"37.620246,-122.49241",6:15:00,10:46:00,13:22
LS08,37.620674,-122.493078,"37.620674,-122.493078",7:11:00,10:56:00,14:14
LS09,37.621612,-122.491585,"37.621612,-122.491585",8:21:00,11:22:00,14:07
LS12,37.620783,-122.493847,"37.620783,-122.493847",8:22:00,11:12:00,14:15
LS01,37.621599,-122.494769,"37.621599,-122.494769",8:37:00,11:29:00,13:53
LS03,37.624766,-122.493411,"37.624766,-122.493411",8:37:00,9:44:00,13:53
LS05,37.62112,-122.492382,"37.62112,-122.492382",8:37:00,11:29:00,13:53
LS11,37.625569,-122.493117,"37.625569,-122.493117",8:37:00,11:29:00,13:53
LS02,37.626667,-122.493239,"37.626667,-122.493239",8:45:00,9:44:00,13:53
LS04,37.62166,-122.494248,"37.62166,-122.494248",8:45:00,11:29:00,13:53
LS10,no data,no data,"no data,no data",,,
MC01,37.638958,-122.471994,"37.638958,-122.471994",8:24:00,11:10:00,13:51
OV01,37.861922,-122.514961,"37.861922,-122.514961",0:00:00,6:53:00,13:14
OL01,37.974284,-122.726648,"37.974284,-122.726648",7:29:00,10:25:00,13:06
OL02,37.967078,-122.717316,"37.967078,-122.717316",8:09:00,10:45:00,13:27
RC13,37.86132,-122.573557,"37.86132,-122.573557",3:28:00,10:27:00,12:40
RC08,37.863223,-122.564133,"37.863223,-122.564133",5:12:00,9:46:00,12:40
RC14,37.860988,-122.574162,"37.860988,-122.574162",6:11:00,9:35:00,12:52
RC09,37.862173,-122.567755,"37.862173,-122.567755",6:47:00,10:30:00,13:19
RC23,37.871253,-122.584655,"37.871253,-122.584655",6:48:00,10:22:00,12:53
RC24,37.864171,-122.574428,"37.864171,-122.574428",7:13:00,10:22:00,12:11
RC01,37.861033,-122.574048,"37.861033,-122.574048",7:15:00,10:13:00,13:08
RC05,37.861033,-122.574048,"37.861033,-122.574048",7:15:00,10:13:00,13:08
RC26,37.864333,-122.574427,"37.864333,-122.574427",7:16:00,10:20:00,12:02
RC22,37.8674,-122.580185,"37.8674,-122.580185",7:18:00,10:23:00,12:37
RC06,37.865604,-122.564551,"37.865604,-122.564551",7:22:00,10:03:00,11:58
RC29,37.863565,-122.573795,"37.863565,-122.573795",7:38:00,10:22:00,13:07
RC11,37.862058,-122.57328,"37.862058,-122.57328",7:41:00,10:23:00,13:14
RC07,37.868232,-122.580885,"37.868232,-122.580885",7:44:00,10:19:00,12:35
RC10,37.863221,-122.573444,"37.863221,-122.573444",7:48:00,10:24:00,13:09
RC17,37.862744,-122.573697,"37.862744,-122.573697",7:48:00,10:24:00,13:08
RC25,37.863015,-122.57373,"37.863015,-122.57373",7:48:00,10:20:00,13:06
RC04,37.860668,-122.57521,"37.860668,-122.57521",8:01:00,10:34:00,12:53
RC18,37.861162,-122.574752,"37.861162,-122.574752",8:01:00,10:30:00,12:53
RC20,37.860418,-122.575916,"37.860418,-122.575916",8:08:00,10:28:00,12:54
RC27,37.860134,-122.574678,"37.860134,-122.574678",8:10:00,10:49:00,13:06
RC02,37.861366,-122.574001,"37.861366,-122.574001",8:17:00,10:30:00,12:50
RC03,37.862556,-122.573982,"37.862556,-122.573982",8:17:00,10:30:00,12:50
RC12,37.86216,-122.574144,"37.86216,-122.574144",8:17:00,10:30:00,12:50
RC16,37.862629,-122.574243,"37.862629,-122.574243",8:17:00,10:30:00,12:50
RC19,37.861503,-122.574432,"37.861503,-122.574432",8:17:00,10:30:00,12:50
RC15,37.861059,-122.57382,"37.861059,-122.57382",8:30:00,11:07:00,13:25
RC28,37.86086,-122.573628,"37.86086,-122.573628",8:30:00,11:06:00,13:25
RC21,37.860179,-122.5771,"37.860179,-122.5771",8:33:00,10:19:00,12:57
RL03,37.831989,-122.523668,"37.831989,-122.523668",5:01:00,10:28:00,12:40
RT02,37.835303,-122.507612,"37.835303,-122.507612",7:44:00,10:55:00,13:08
RL01,37.835411,-122.51843,"37.835411,-122.51843",7:47:00,11:15:00,11:59
RL04,37.831839,-122.529022,"37.831839,-122.529022",8:02:00,11:36:00,13:41
RL06,37.834716,-122.540709,"37.834716,-122.540709",8:20:00,10:58:00,12:41
RL02,37.83222,-122.52511,"37.83222,-122.52511",8:23:00,11:07:00,13:36
RL08,37.832456,-122.527586,"37.832456,-122.527586",8:24:00,11:25:00,13:11
RT01,37.835359,-122.518987,"37.835359,-122.518987",8:31:00,11:18:00,12:39
RL07,37.836311,-122.544602,"37.836311,-122.544602",9:30:00,11:52:00,14:07
RL05,various sites,various sites,"various sites,various sites",,,
RL23,no data,no data,"no data,no data",,,
SM01,37.591892,-122.448721,"37.591892,-122.448721",7:30:00,10:51:00,13:03
SP01,37.601801,-122.455309,"37.601801,-122.455309",9:25:00,11:37:00,14:03
SB01,37.780068,-122.51352,"37.780068,-122.51352",8:31:00,11:22:00,13:56
TV06,37.841706,-122.551337,"37.841706,-122.551337",5:23:00,9:09:00,11:09
TV01,37.862486,-122.545698,"37.862486,-122.545698",5:36:00,9:40:00,11:36
TV02,37.844403,-122.549628,"37.844403,-122.549628",5:56:00,7:27:00,11:48
TV05,37.844737,-122.549637,"37.844737,-122.549637",5:56:00,8:38:00,11:48
TV04,37.84603,-122.548333,"37.84603,-122.548333",6:10:00,9:23:00,13:01
TV07,37.859897,-122.545054,"37.859897,-122.545054",6:42:00,10:32:00,12:59
TV03,37.849113,-122.534766,"37.849113,-122.534766",8:13:00,10:34:00,11:54
WU02,37.452133,-122.294427,"37.452133,-122.294427",7:53:00,10:58:00,12:59
WU01,various sites,various sites,"various sites,various sites",,,
WG01,37.934577,-122.695455,"37.934577,-122.695455",8:24:00,10:48:00,13:06
